name,diameter,center_lon,center_lat,type,code
Sinus Roris,195.042000000000000,309.141246497519000,50.261281587820800,"Sinus, sinūs",SI
Sinus Successus,126.651000000000000,58.519762877779900,1.124212185373540,"Sinus, sinūs",SI
Apollonius L,10.123300000000000,54.566817405222300,6.471043922366270,Satellite Feature,SF
Taizo,8.185370000000000,2.196054939956230,24.702407918765800,"Crater, craters",AA
Tikhomirov,86.427700000000000,161.332939132053000,24.198848481380300,"Crater, craters",AA
Van de Graaff,240.467000000000000,172.007971864471000,-27.041345527229400,"Crater, craters",AA
Vertregt,172.759000000000000,171.120275168689000,-19.299904477418000,"Crater, craters",AA
Adams B,31.328000000000000,65.700673643028600,-31.542944697904500,Satellite Feature,SF
Al-Khwarizmi G,102.832000000000000,107.345663871407000,6.755925530903080,Satellite Feature,SF
Alden E,26.369200000000000,112.805174517900000,-23.417775235277800,Satellite Feature,SF
Alexander K,3.954800000000000,19.349652923533500,40.521362829251800,Satellite Feature,SF
Aliacensis K,5.646880000000000,6.258897221413630,-31.428927689540700,Satellite Feature,SF
Hayford P,20.904600000000000,182.262968293341000,11.009427229268400,Satellite Feature,SF
Fourier P,9.619170000000000,304.926924684723000,-31.115622057754500,Satellite Feature,SF
Bridgman C,40.435800000000000,140.401825151084000,46.568096020927700,Satellite Feature,SF
Maskelyne Y,4.273930000000000,28.160819383013200,1.729458325521370,Satellite Feature,SF
Avicenna E,25.644400000000000,268.749486420876000,40.194740878091400,Satellite Feature,SF
Barbier K,13.248300000000000,159.201502052438000,-26.288275737968200,Satellite Feature,SF
Barocius C,35.840300000000000,17.477599568926300,-43.107007097857000,Satellite Feature,SF
Bayer S,15.435600000000000,323.552856242990000,-52.325608439455000,Satellite Feature,SF
Birkhoff M,25.329200000000000,214.937667270525000,54.501643288539100,Satellite Feature,SF
Bolyai W,53.028300000000000,124.416066710459000,-32.047619178576300,Satellite Feature,SF
Boscovich P,64.822800000000000,10.308890309322400,11.468788801416800,Satellite Feature,SF
Briggs A,25.133100000000000,286.221000951902000,27.124831255542100,Satellite Feature,SF
Brown E,23.187300000000000,342.371129703348000,-46.858893384661000,Satellite Feature,SF
Buch E,8.312810000000000,16.502536948212100,-38.976518705474900,Satellite Feature,SF
Bullialdus G,3.395590000000000,336.299418658246000,-23.270904576680600,Satellite Feature,SF
Bullialdus H,4.376200000000000,340.639748260558000,-22.753182405472700,Satellite Feature,SF
