name,diameter,center_lon,center_lat
Janssen Q,4.94,39.36,-46.34
Kant N,9.05,19.71,-9.91
Rheita E,67.72,48.91,-34.23
Kapteyn Z,6.65,72.56,-11.20
Kästner G,95.66,79.34,-3.67
Kelvin A,7.36,328.42,-27.48
Rocca Q,58.50,290.86,-15.29
Kirch F,4.05,353.95,38.00
Kinau P,4.95,17.36,-61.42
Krusenstern A,4.89,5.80,-26.97
Kugler U,35.39,101.73,-53.59
Lacroix G,48.76,300.75,-36.61
Lacroix J,20.12,300.57,-38.37
Lade X,2.93,11.03,-1.71
Lansberg B,8.99,331.86,-2.49
Lansberg L,4.10,333.59,-3.55
Lavoisier A,28.51,286.73,36.97
Lavoisier L,6.41,285.02,39.73
Lichtenberg H,4.18,301.09,31.51
Lick G,4.77,50.92,10.07
Lippershey T,4.93,348.86,-25.30
Longomontanus E,6.16,341.89,-51.34
Lubbock M,22.15,38.69,-0.40
Maskelyne J,3.68,32.62,3.13
Lyell C,4.14,39.39,15.14
Maclear A,4.11,18.00,11.30
Seeliger T,3.32,4.30,-2.20
Maginus Q,9.23,357.67,-50.85
Marco Polo G,4.42,358.06,16.72
Marius J,2.98,313.09,10.45
Marius Y,2.52,309.22,9.77
Marth K,3.02,331.22,-29.96
Maskelyne B,8.34,28.96,1.97
Maskelyne G,5.84,26.69,2.29
Maupertuis B,6.07,333.20,51.37
Maurolycus P,3.93,12.69,-38.12
Maury K,5.20,41.07,39.47
Mercator E,5.32,333.14,-30.10
Mercurius D,69.47,69.00,46.12
Short B,89.83,354.82,-75.89
Milichius A,8.22,327.93,9.25
Miller E,5.86,2.75,-38.92
Mösting L,3.01,356.56,-0.68
Mutus J,7.15,23.28,-62.81
Neander M,8.60,37.66,-34.85
Nearch M,7.50,35.14,-58.61
Lev,0.06,62.20,12.69
Nonius F,6.98,3.73,-35.92
Opelt E,7.38,342.09,-17.04
Orontius B,8.74,356.83,-39.96
Parry L,6.31,345.30,-6.31
Piazzi C,28.04,297.24,-37.15
Piazzi Smyth W,3.00,358.13,42.25
Pickering C,3.32,6.15,-1.54
Plinius A,3.45,24.16,12.98
Pons N,5.75,22.92,-25.95
Ptolemaeus L,3.17,355.98,-8.84
Ptolemaeus Y,5.97,0.70,-9.36
Puiseux B,3.37,321.02,-25.70
Pytheas F,3.89,340.85,16.55
Rabbi Levi N,8.85,23.58,-36.51
Réaumur C,4.26,0.20,-3.49
?afa?ík A,21.23,176.97,12.50
Reiner M,2.99,303.75,8.62
Reiner S,3.38,309.16,2.25
Rocca M,44.13,289.11,-14.57
Römer W,6.06,40.41,26.43
Saunder T,4.91,10.38,-4.06
Rümker E,6.78,302.86,38.63
Sabine C,2.83,22.92,1.02
Santbech D,7.43,45.13,-21.13
Santbech K,9.29,43.11,-19.22
