name,diameter,center_lon,center_lat
Zhukovskiy,82.07,192.72,7.55
Zucchius,63.17,309.35,-61.38
Zsigmondy,66.88,254.70,59.51
Abenezra J,4.25,10.68,-19.91
Zupus,35.29,307.62,-17.17
Zähringer,11.18,40.21,5.50
Maunder A,15.48,269.37,-3.28
Zwicky,126.06,167.64,-16.17
Zöllner,47.69,18.89,-7.96
?afa?ík,31.42,176.70,10.43
Abbe H,25.12,177.58,-58.44
Abbe K,26.10,176.85,-59.81
Abbe M,28.61,175.23,-61.74
Abel A,27.83,85.79,-36.31
Abel B,41.54,82.59,-36.72
Abel C,36.84,81.40,-36.12
Abel D,27.89,86.45,-37.67
Abel E,13.99,84.43,-37.53
Abel J,18.75,79.87,-36.20
Abel K,9.94,77.45,-34.69
Abel L,54.12,82.39,-34.55
Abenezra A,22.18,10.44,-22.79
Abel M,91.00,83.52,-32.37
Alfraganus M,3.15,19.56,-5.65
Abenezra B,13.76,10.06,-20.81
Abenezra C,43.69,11.09,-21.36
Abenezra E,14.10,9.40,-21.46
Abenezra F,6.30,10.33,-21.58
Almanon B,23.59,15.26,-18.33
Almanon C,15.61,15.97,-16.16
Anaximander S,7.20,306.40,68.35
Anaximander T,7.01,307.72,67.29
Anaximander U,7.54,311.49,64.13
Anaximenes B,8.34,321.93,68.93
Abenezra H,4.72,12.71,-21.08
Abenezra P,39.26,9.84,-20.01
Abul Wáfa A,14.97,116.85,1.39
Abul Wáfa Q,31.03,115.88,0.14
Abulfeda A,13.25,10.75,-16.43
Abulfeda B,15.49,16.37,-14.50
Hermann S,3.90,304.39,0.94
Abulfeda C,16.42,10.82,-12.79
Abulfeda D,19.68,9.46,-13.24
Abulfeda E,5.55,10.13,-16.76
Abulfeda F,17.47,13.06,-16.18
Aliacensis B,15.81,3.20,-31.43
Aliacensis C,7.93,5.41,-32.70
Aliacensis D,9.66,6.81,-33.18
Agrippa G,13.23,6.15,3.91
Abulfeda G,6.30,8.93,-13.10
Abulfeda K,9.93,10.57,-14.92
Abulfeda L,4.94,10.67,-14.08
Abulfeda M,10.05,12.06,-16.23
Abulfeda N,13.07,12.20,-15.14
Abulfeda O,6.60,11.15,-15.46
Abulfeda P,4.58,11.54,-15.49
Abulfeda R,6.33,12.96,-12.78
Abulfeda S,5.27,13.29,-12.28
Abulfeda T,6.15,13.71,-14.85
Abulfeda U,5.81,13.79,-12.97
Abulfeda W,5.41,13.84,-12.55
Abulfeda X,5.80,13.99,-15.01
Abulfeda Y,4.62,14.05,-12.75
Hevelius B,13.49,291.02,1.35
Abulfeda Z,5.65,15.17,-14.72
Alphonsus Y,2.60,358.08,-14.70
Fontana C,13.45,302.80,-12.85
Alter K,21.63,253.81,16.21
Alter W,51.47,250.59,20.38
Amici M,107.91,187.97,-11.80
Amici N,37.62,187.46,-11.88
Adams C,11.12,65.53,-32.35
Adams D,46.26,71.45,-32.40
Adams M,25.23,69.33,-34.73
Adams P,25.43,70.90,-35.14
Agatharchides A,15.68,331.53,-23.27
Agatharchides B,6.97,328.29,-21.52
Agatharchides C,11.45,327.05,-22.05
Agatharchides E,15.27,326.81,-20.74
Agatharchides G,5.95,333.15,-20.17
Agatharchides H,15.97,326.05,-20.40
Agatharchides J,13.04,327.39,-21.62
Agatharchides K,13.34,332.46,-21.07
Agatharchides L,7.99,333.21,-21.12
Agatharchides N,21.64,330.28,-21.09
Agatharchides O,4.65,333.28,-19.23
Agatharchides P,65.98,331.22,-20.30
Agatharchides T,5.62,332.20,-18.32
Agrippa B,4.01,9.45,6.19
Pallas X,2.87,356.76,5.13
Agrippa D,21.36,6.71,3.76
Agrippa E,5.00,8.44,5.16
Aliacensis E,8.73,2.31,-30.42
Aliacensis F,4.81,3.84,-32.66
Maskelyne W,4.16,29.20,0.80
Aliacensis G,7.75,4.69,-33.38
Agrippa H,4.85,10.69,4.75
Agrippa S,31.71,8.89,5.27
Airy A,12.19,7.63,-17.04
Airy B,27.25,8.45,-17.66
Airy C,30.48,4.77,-19.24
Airy D,6.61,8.33,-18.13
Airy E,38.03,7.54,-20.75
Airy F,4.83,7.26,-18.20
Airy G,25.32,6.95,-18.69
Airy H,9.30,5.68,-18.73
Airy L,6.02,7.54,-20.47
Airy M,0.85,7.56,-19.14
Airy R,6.33,8.77,-19.60
Airy N,7.94,8.17,-17.85
Airy O,4.52,8.35,-16.75
Airy P,6.64,8.34,-15.88
Lipskiy X,21.36,178.82,0.42
Albategnius C,5.66,3.70,-10.33
Airy S,5.30,9.38,-17.27
Archimedes Z,2.06,358.59,26.87
Barnard A,15.38,85.06,-32.14
Airy T,36.91,9.38,-19.27
Airy V,4.42,9.13,-17.49
Lubbock K,6.04,38.35,-5.14
Airy X,3.87,10.12,-18.94
Aitken A,12.93,173.46,-13.86
Fleming N,23.13,108.87,12.70
Aitken Y,35.71,172.92,-11.92
Amici P,24.92,185.87,-12.35
Aitken C,65.60,175.57,-13.76
Aitken Z,32.05,173.20,-14.89
Amici Q,43.59,184.11,-12.33
Al-Biruni C,9.53,93.05,18.41
Al-Khwarizmi B,59.05,107.91,9.09
Aliacensis H,5.58,6.00,-31.81
Al-Khwarizmi H,49.71,109.77,5.84
Al-Khwarizmi L,35.50,107.89,3.76
Al-Khwarizmi J,44.67,108.14,6.18
Al-Khwarizmi K,22.36,108.15,4.49
Apianus R,13.10,8.89,-25.78
Apianus T,11.51,9.44,-27.73
Apianus U,16.82,8.97,-27.91
Albategnius A,6.78,3.03,-9.34
Albategnius B,18.98,4.02,-10.07
Albategnius D,8.35,7.14,-11.35
Albategnius E,12.67,6.38,-12.94
Albategnius G,13.78,1.88,-9.46
Albategnius H,11.76,5.16,-9.66
Albategnius K,10.31,1.99,-9.90
Amici U,88.73,184.52,-8.75
Amundsen C,24.22,85.21,-80.75
Anaxagoras A,20.08,352.97,72.25
Anaxagoras B,4.94,348.63,70.35
Anaximander A,15.23,309.59,68.04
Anaximander B,79.09,298.79,68.08
Anaximander D,96.62,309.31,65.77
Anaximander H,9.03,318.94,65.28
Anaximander R,8.04,304.78,66.31
Albategnius L,7.44,6.31,-12.08
Albategnius M,8.06,4.15,-8.91
Albategnius N,8.61,4.53,-9.89
Albategnius O,4.53,4.42,-13.62
Albategnius S,5.91,6.04,-13.34
Albategnius T,9.61,6.06,-12.66
Godin E,3.61,12.36,1.66
Alden B,15.10,113.10,-20.59
Alden V,20.88,110.46,-22.70
Alden C,56.81,111.74,-22.68
Be?vá? T,26.13,122.10,-2.11
Alder E,18.62,186.49,-47.97
Alekhin E,39.60,235.41,-66.96
Alexander A,3.98,14.93,40.78
Alexander B,3.89,15.14,40.27
Encke X,2.97,319.67,0.94
Alexander C,4.22,14.95,38.52
Alfraganus A,13.87,20.32,-3.04
Alfraganus C,10.30,18.09,-6.12
Alfraganus D,8.29,20.13,-4.04
Alhazen D,34.23,75.17,19.67
Aliacensis A,13.61,7.39,-29.70
Bergstrand J,28.26,178.02,-20.23
Aliacensis W,10.32,5.31,-31.90
Aliacensis X,3.66,6.78,-29.63
Aliacensis Y,4.69,7.33,-30.10
Aliacensis Z,3.83,4.49,-30.05
Joule K,15.90,218.15,25.64
Almanon A,9.74,15.32,-17.79
Almanon D,5.33,15.54,-18.59
Almanon E,5.37,13.62,-17.91
Almanon F,5.23,14.26,-15.92
Almanon G,4.46,14.60,-17.93
Almanon H,6.05,15.22,-19.02
Almanon K,6.45,15.43,-15.84
Almanon L,5.88,16.57,-18.99
Almanon P,19.43,17.00,-18.55
Almanon Q,4.63,16.99,-18.07
Alpes A,10.65,359.70,51.38
Alpes B,4.81,359.08,45.81
Alpetragius B,9.72,353.12,-15.13
Alpetragius C,2.10,353.83,-13.74
Alpetragius G,12.17,353.43,-18.17
Alpetragius H,4.42,353.89,-18.01
Alpetragius J,4.12,354.29,-18.04
Firmicus B,17.22,65.77,7.31
Alpetragius M,23.20,356.73,-16.45
Alpetragius N,11.26,356.12,-16.73
Fontana D,11.24,302.50,-17.00
Alpetragius U,15.59,354.89,-17.71
Alpetragius V,15.90,354.17,-18.18
Berzelius W,7.17,53.10,38.13
Alpetragius W,27.67,354.03,-17.95
Alpetragius X,31.77,354.26,-15.60
Alphonsus A,3.60,357.72,-14.86
Alphonsus C,3.37,355.12,-14.40
Alphonsus D,23.69,359.14,-15.05
Alphonsus G,3.52,356.60,-12.35
Alphonsus H,7.00,359.47,-15.62
Bullialdus K,12.01,334.31,-21.78
Alphonsus J,7.89,357.48,-15.13
Apianus H,6.56,8.64,-28.15
Apianus J,6.70,8.51,-26.32
Apianus K,6.44,9.31,-27.47
Apianus L,4.66,10.84,-29.12
Apianus M,6.98,10.28,-24.77
Apianus N,3.45,9.90,-28.89
Apianus P,41.58,9.12,-25.28
Alphonsus L,3.75,356.27,-12.02
Alphonsus R,3.00,358.07,-14.39
Alphonsus X,4.67,355.54,-14.98
Anaximenes E,10.00,328.54,66.57
Anaximenes G,51.16,319.49,73.75
Anaximenes H,42.71,314.29,74.63
And?l A,13.40,11.24,-10.81
And?l D,5.98,11.70,-10.78
And?l E,5.69,12.22,-12.01
And?l F,9.21,11.08,-8.33
And?l G,4.12,12.31,-10.94
Maurolycus G,6.95,11.51,-44.51
And?l H,5.24,11.31,-6.66
And?l J,5.52,11.41,-7.54
Hermann R,2.38,304.20,0.55
And?l M,26.46,11.11,-9.75
And?l N,8.49,11.33,-10.24
Maurolycus K,7.71,12.66,-39.99
And?l S,4.52,12.69,-11.39
And?l T,3.38,13.24,-11.24
And?l W,11.18,12.25,-12.36
Anders D,23.79,219.14,-40.26
Anders G,20.46,217.81,-41.81
Maurolycus S,6.42,17.01,-42.07
Anders X,21.44,215.75,-39.72
Anderson E,28.22,173.52,16.97
Anderson F,44.95,173.79,16.28
Anderson L,14.14,171.12,14.71
Angström A,5.68,318.84,30.91
Angström B,5.56,315.81,31.76
Ansgarius B,33.10,84.10,-11.98
Ansgarius C,15.59,74.82,-14.78
Oenopides X,5.14,296.84,57.63
Ansgarius M,7.55,78.79,-11.24
Ansgarius N,10.23,81.18,-11.91
Oken L,9.25,78.13,-42.78
Ansgarius P,10.34,75.65,-13.06
Anuchin B,25.59,103.57,-46.44
Anuchin L,16.04,101.91,-49.84
Anuchin N,30.68,100.03,-51.27
Anuchin Q,51.43,98.76,-50.81
Anuchin V,15.18,99.80,-47.81
Apianus B,10.20,8.98,-27.40
Apianus C,19.64,10.45,-28.13
Apianus D,33.66,10.66,-26.07
Apianus E,8.38,8.18,-28.85
Apianus F,5.38,6.32,-28.14
Apianus G,4.02,7.64,-28.12
Hyginus N,10.56,7.42,10.54
Apianus V,3.20,10.40,-25.19
Apianus W,9.68,7.46,-25.59
Fontana M,6.35,302.28,-17.21
Apianus X,3.10,7.01,-28.33
Apollonius A,24.55,56.85,4.82
Apollonius B,31.16,57.59,5.86
Apollonius E,16.54,61.85,4.34
Apollonius F,14.72,59.93,5.59
Apollonius H,19.03,59.50,3.43
Apollonius M,9.53,61.77,4.72
Apollonius N,10.78,63.76,4.74
Krafft H,14.78,282.08,16.91
Bessarion V,2.97,325.01,15.06
Apollonius S,16.22,62.58,1.26
Apollonius U,8.44,59.87,4.88
Apollonius V,14.97,58.22,4.39
Apollonius X,28.97,58.17,6.89
Apollonius Y,8.71,62.60,4.87
Bessel G,1.10,14.73,21.14
Appleton Q,22.66,155.31,34.17
Appleton D,39.13,160.62,37.77
Appleton M,25.02,158.26,33.71
Bettinus G,6.51,315.26,-61.60
Appleton R,40.91,156.25,36.12
Arago B,6.90,20.81,3.42
Arago D,3.94,22.39,6.91
Arago E,6.27,22.70,8.51
Becquerel E,30.44,131.44,40.95
Aratus B,6.68,5.43,24.17
Fra Mauro R,3.80,344.40,-2.26
Aratus C,3.55,9.45,24.07
Arnold J,6.17,33.81,65.89
Fra Mauro T,2.50,340.58,-2.06
Archimedes E,2.56,352.79,24.99
Arnold K,30.00,42.37,70.70
Arnold L,34.88,35.77,69.99
Fra Mauro Z,4.75,345.34,-3.81
Arnold M,6.76,43.59,68.29
Arnold N,18.80,41.60,70.15
Arrhenius J,16.98,271.54,-57.51
Aratus CA,2.08,11.17,24.55
Aratus D,4.05,8.60,24.37
Archimedes C,7.65,358.47,31.63
Archimedes D,4.95,357.30,32.20
Archimedes G,3.29,351.84,29.14
Archimedes H,3.78,352.97,23.89
Be?vá? Q,27.47,124.31,-3.14
Archimedes L,3.20,357.38,25.04
Archimedes M,3.27,356.79,26.12
Archimedes R,3.50,353.39,26.07
Archimedes N,3.50,356.10,24.15
Archimedes P,2.63,357.49,25.93
Archimedes Q,2.35,357.57,28.51
Archimedes S,2.76,357.27,29.55
Archimedes T,2.32,354.97,30.29
Archimedes U,2.73,358.04,32.83
Archimedes V,2.66,355.98,32.97
Archimedes W,3.18,353.75,23.80
Archimedes X,2.15,351.97,31.02
Archytas B,35.18,3.17,61.43
Archytas D,44.75,11.89,63.70
Hansteen L,3.11,306.85,-13.54
Archytas G,7.21,0.53,55.73
Archytas K,13.76,7.67,62.66
Archytas L,4.38,0.90,56.19
Archytas U,7.39,9.21,62.89
Archytas W,5.72,5.19,61.28
Argelander A,8.64,6.74,-16.53
Argelander B,5.59,5.10,-15.59
Argelander C,3.86,5.71,-16.27
Olbers S,16.23,283.31,6.83
Argelander D,10.68,4.44,-17.63
Argelander W,18.62,4.18,-16.74
Ariadaeus A,7.93,17.48,4.64
Ariadaeus B,7.80,15.05,4.89
Firmicus C,12.94,66.46,7.70
Ariadaeus E,21.96,17.62,5.32
Ariadaeus F,3.16,18.00,4.32
Bonpland J,2.63,339.59,-11.38
Aristarchus N,3.13,316.97,22.83
Aristarchus B,6.95,313.15,26.27
Lamé F,10.42,66.47,-13.85
Aristarchus D,4.65,317.11,23.73
Arnold F,10.41,35.18,67.55
Aristarchus S,3.79,313.71,19.29
Aristarchus F,17.59,313.42,21.66
Aristarchus H,4.42,314.25,22.61
Aristarchus T,3.33,313.50,19.66
Aristarchus U,3.45,311.35,19.72
?afa?ík H,15.80,178.54,9.52
Aristarchus Z,7.73,311.51,25.48
Aristillus A,4.43,4.53,33.64
Aristillus B,8.02,358.07,34.79
Aristoteles D,5.60,14.71,47.48
Regiomontanus M,4.39,357.85,-29.56
Aristoteles M,6.97,27.26,53.49
Aristoteles N,5.30,26.83,52.89
Armi?ski D,11.23,154.97,-16.04
Armi?ski K,20.04,154.64,-17.09
Arnold A,55.13,39.59,68.76
Arnold E,31.15,38.09,71.48
Arnold G,10.64,31.44,67.39
Arnold H,12.81,44.98,72.59
Artem'ev G,60.94,216.30,10.01
Artem'ev L,27.97,215.79,7.96
Arzachel A,8.68,358.49,-18.06
Arzachel B,7.71,357.01,-17.06
Arzachel C,5.66,356.29,-17.48
Arzachel D,7.45,357.85,-20.19
Arzachel H,4.07,357.95,-18.69
Arzachel K,3.50,358.37,-18.37
Arzachel L,4.40,0.13,-19.96
Arzachel M,3.01,359.12,-20.64
Arzachel N,2.75,357.73,-20.41
Arzachel T,2.96,358.70,-17.68
Avicenna G,24.50,267.94,39.18
Avicenna R,18.73,259.92,38.89
Azophi A,28.30,11.18,-24.43
Azophi B,18.32,10.58,-23.58
Azophi C,5.35,13.06,-21.80
Arzachel Y,3.91,355.73,-18.27
Asclepi A,13.43,23.01,-53.09
Asclepi B,17.25,23.82,-54.23
Babbage U,5.09,308.65,60.96
Babbage X,6.36,309.71,60.29
Balboa C,26.09,280.83,19.58
Babcock H,63.39,96.50,3.10
Atlas L,5.39,48.61,51.33
Balboa D,40.36,280.20,18.24
Asclepi C,9.57,23.54,-53.57
Asclepi D,17.86,24.08,-53.65
Asclepi E,6.38,24.15,-52.25
Asclepi G,4.93,24.79,-53.49
Asclepi H,18.21,25.19,-52.80
Aston K,14.46,272.11,35.03
Aston L,10.08,273.49,35.47
Atlas D,25.81,49.65,50.40
Atlas E,57.98,42.49,48.60
Atlas G,21.41,46.46,50.72
Atlas P,26.89,53.00,49.65
Atlas W,4.31,44.22,44.42
Atlas X,5.01,45.10,45.12
Autolycus A,4.16,2.17,30.92
Autolycus K,3.02,5.42,31.21
Baillaud E,14.28,35.95,74.33
Auwers A,7.57,18.30,13.77
Auzout C,16.86,65.26,8.78
Auzout E,17.35,60.65,9.56
Auzout L,7.50,61.29,8.34
Auzout R,7.67,60.04,8.70
Auzout U,8.14,61.04,9.39
Auzout V,7.82,61.30,9.34
Azophi D,8.48,13.38,-24.32
Azophi E,4.91,13.77,-23.48
Azophi F,5.95,13.83,-22.30
Azophi G,54.64,12.26,-23.86
Azophi H,20.70,11.83,-25.58
Azophi J,7.52,13.16,-21.28
Babbage A,32.27,304.35,59.14
Babbage B,6.54,300.36,57.05
Babbage C,13.71,302.48,59.19
Babbage D,70.95,298.83,58.64
Babbage E,7.18,298.39,58.46
Babcock K,9.97,95.14,1.18
Backlund E,13.38,105.57,-15.79
Backlund L,57.19,103.81,-18.36
Backlund N,18.04,103.06,-17.91
Backlund P,26.18,102.30,-19.00
Backlund R,22.96,101.86,-16.90
Backlund S,20.84,100.99,-16.92
Baco A,38.71,20.21,-52.98
Baco B,41.43,16.58,-49.63
Baco C,13.20,14.70,-50.91
Baco D,7.00,16.29,-51.72
Baco E,27.05,16.16,-53.02
Baco F,5.79,17.64,-50.36
Baco G,8.23,17.15,-54.46
Baco H,6.24,18.94,-52.06
Baco J,16.64,19.26,-54.83
Baco K,28.02,17.62,-54.07
Baco L,6.19,16.75,-49.60
Baco M,7.22,17.95,-49.26
Baco N,19.14,16.20,-50.89
Baco O,9.25,19.88,-52.12
Baco P,3.15,19.72,-51.03
Baco Q,17.31,18.61,-52.40
Baco R,17.42,20.91,-49.24
Baco S,16.70,18.45,-49.41
Baco T,4.87,19.77,-53.87
Baco U,5.80,19.30,-52.47
Baco W,9.04,21.11,-53.38
Baco Z,6.52,14.95,-53.11
Baillaud A,55.60,48.27,75.60
Baillaud C,11.36,50.91,74.90
Baillaud D,15.41,49.27,73.41
Baillaud F,18.81,53.02,75.61
Bailly A,42.68,300.42,-69.28
Bailly B,62.21,296.75,-68.73
Bailly M,20.19,292.49,-61.16
Bailly C,19.28,289.66,-65.79
Bailly D,26.62,287.62,-65.25
Bailly E,16.41,294.24,-62.44
Bailly F,16.83,290.41,-67.46
Bailly G,18.72,300.52,-65.62
Bailly H,12.92,297.41,-63.57
Bailly K,18.55,283.28,-62.73
Bailly L,21.26,288.86,-60.71
Bailly O,18.72,303.07,-69.58
Bailly P,14.38,299.33,-59.57
Bailly R,17.14,280.81,-64.66
Bailly T,19.42,286.17,-66.49
Bailly U,23.97,283.96,-71.24
Bailly V,32.15,278.55,-71.91
Bailly Y,14.25,294.39,-61.04
Bailly Z,13.49,294.14,-60.21
Baily A,16.25,31.38,48.70
Baily B,6.96,35.18,51.00
Baily K,3.41,30.52,51.50
Balboa A,46.66,277.97,17.41
Balboa B,54.24,277.42,20.49
Baldet J,17.20,209.75,-54.77
Ball A,29.22,350.60,-34.74
Ball B,9.72,350.80,-36.92
Ball C,31.15,351.21,-37.70
Ball D,22.45,349.58,-35.62
Ball E,4.38,351.82,-36.52
Ball G,26.73,349.78,-37.72
Balmer M,6.54,71.55,-20.76
Balmer N,8.46,69.81,-19.91
Balmer P,15.24,67.57,-20.47
Balmer Q,7.98,70.49,-18.69
Balmer R,5.72,69.13,-18.71
Balmer S,6.53,67.63,-18.57
Banachiewicz B,23.02,78.97,5.29
Banachiewicz C,21.27,75.33,7.01
Banachiewicz E,8.59,74.75,7.56
Barbier F,15.85,158.20,-23.82
Barbier D,21.55,160.17,-23.02
Barocius W,18.90,16.21,-45.67
Barbier G,16.60,159.85,-24.16
Barbier H,16.18,160.48,-25.11
Barbier J,42.20,160.22,-25.77
Barbier U,41.12,155.17,-22.77
Barbier V,30.37,154.57,-22.27
Barnard D,52.23,89.17,-31.34
Barocius B,36.57,18.28,-44.13
Barocius D,8.69,19.18,-46.06
Barocius E,23.57,22.14,-47.24
Barocius EC,7.67,22.49,-48.21
Barocius F,15.37,21.60,-45.92
Barocius G,27.60,21.02,-42.51
Barocius H,10.55,21.62,-46.70
Barocius J,27.15,21.41,-44.96
Barocius L,13.02,18.81,-42.49
Barocius M,15.85,19.48,-42.44
Barocius N,10.07,19.76,-43.19
Barocius O,5.35,21.93,-45.74
Barocius R,14.25,21.52,-43.91
Barocius S,8.26,21.82,-42.49
Barringer C,22.04,210.93,-26.81
Barringer Z,21.83,209.75,-24.76
Barrow A,27.37,3.85,70.56
Barrow B,16.81,10.52,70.15
Barrow C,27.98,11.12,73.02
Barrow E,17.94,3.33,69.00
Barrow F,18.59,1.81,69.15
Behaim B,22.93,76.51,-16.10
Behaim BA,14.30,76.06,-16.39
Barrow H,4.88,5.99,69.28
Barrow K,45.52,11.74,69.28
Barrow M,5.86,9.13,67.61
Bartels A,16.84,270.39,25.69
Bayer A,17.53,329.56,-51.35
Bayer B,23.09,331.80,-48.82
Bayer C,22.10,328.58,-49.76
Bayer D,19.59,330.16,-47.95
Bayer E,29.34,327.58,-51.76
Bayer F,19.11,328.32,-53.03
Bayer G,7.44,324.50,-51.73
Bayer H,31.54,327.32,-53.52
Bayer J,24.63,326.38,-52.26
Bayer K,15.78,325.93,-50.28
Bayer L,13.34,326.30,-47.51
Bayer M,9.51,328.80,-50.68
Bayer N,8.56,330.62,-48.33
Bayer P,4.24,330.32,-51.72
Bayer R,7.68,324.38,-52.41
Bayer T,7.98,329.68,-49.25
Bayer U,9.68,328.59,-48.40
Bayer V,9.39,328.24,-47.55
Bayer W,8.83,326.58,-48.03
Bayer X,8.35,326.19,-53.41
Bayer Y,27.58,324.13,-49.23
Bayer Z,6.19,326.38,-49.11
Beaumont A,14.32,27.77,-16.31
Beaumont B,15.14,26.80,-18.71
Beaumont C,6.01,27.93,-20.25
Beaumont D,10.49,26.16,-17.08
Bonpland L,2.84,338.78,-7.54
Beer B,2.46,350.95,25.67
Beaumont E,16.31,27.48,-18.88
Korolev G,11.88,206.54,-5.67
Beaumont F,8.90,26.59,-18.36
Beaumont G,7.73,27.14,-20.37
Beaumont H,3.66,28.53,-17.08
Beaumont J,4.85,26.50,-19.95
Beaumont K,4.95,30.06,-17.52
Beaumont L,4.24,30.01,-14.45
Beaumont M,10.21,28.62,-19.43
Beaumont N,4.89,27.77,-16.96
Beaumont P,16.24,29.59,-19.92
Beaumont R,4.09,30.71,-17.94
Be?vá? E,16.15,127.90,-1.98
Becquerel F,23.15,132.84,40.84
Becquerel W,25.35,127.06,42.05
Becquerel X,34.23,128.21,42.01
Be?vá? D,10.88,127.40,-1.80
Be?vá? J,47.16,126.80,-3.83
Be?vá? X,26.32,124.46,-1.00
Beer A,3.54,351.38,27.27
Daedalus M,13.84,179.49,-8.03
Beer E,2.98,352.15,27.83
Behaim C,12.18,77.48,-16.70
Behaim N,9.92,73.55,-16.11
Behaim S,26.68,81.44,-16.33
Behaim T,11.30,81.41,-15.89
Beijerinck C,19.84,153.83,-10.84
Macrobius F,11.43,48.52,22.46
Beijerinck D,13.67,153.19,-12.67
Beijerinck H,15.95,153.41,-14.02
Beijerinck J,39.94,153.85,-14.68
Beijerinck R,24.81,149.35,-14.50
Beijerinck S,25.90,147.29,-13.99
Beijerinck U,16.38,149.17,-12.31
Beijerinck V,52.88,150.25,-12.67
Bel'kovich B,12.33,85.71,58.88
Bellot B,7.12,47.71,-13.55
Bel'kovich A,57.25,87.41,58.65
Bel'kovich K,47.03,93.61,63.63
Bergstrand G,32.43,179.27,-19.86
Bell K,18.95,264.82,18.34
Bell E,15.90,264.05,22.05
Bell J,19.72,265.88,19.88
Bell L,22.08,264.05,19.71
Bell N,17.70,263.03,19.43
Bell Q,22.85,262.74,20.74
Bell T,52.19,260.96,21.90
Bell Y,23.00,263.15,25.40
Bellot A,8.46,47.62,-13.19
Belyaev Q,50.28,139.71,20.65
Bergstrand Q,57.11,175.19,-19.94
Bernoulli K,17.67,63.39,36.53
Berzelius K,5.97,47.03,35.56
Berkner A,21.79,255.09,27.62
Berkner B,33.85,255.76,29.43
Berkner Y,31.19,253.67,27.76
Berlage R,27.06,192.47,-64.09
Bernoulli A,20.23,60.87,36.41
Bernoulli B,23.96,65.51,36.83
Bernoulli C,17.99,67.18,35.38
Bernoulli D,11.91,66.50,35.79
Bernoulli E,26.75,62.85,35.31
Berosus A,11.31,68.08,33.14
Berosus F,22.15,66.52,33.99
Berosus K,8.16,70.88,32.18
Bouvard F,11.98,283.44,-42.44
Bouvard G,20.36,285.25,-42.02
Brenner L,5.46,36.61,-38.16
Brenner M,6.54,36.72,-38.76
Byrgius N,22.85,296.84,-22.39
Byrgius P,18.68,295.77,-22.53
Byrgius R,7.18,299.15,-26.49
Blazhko D,40.19,214.54,32.79
Blazhko F,33.34,213.61,31.19
Berzelius A,8.42,48.86,36.73
Berzelius B,25.50,43.09,32.31
Berzelius F,10.83,46.02,32.84
De Sitter G,9.70,42.00,78.77
Berzelius T,9.21,47.95,36.24
Biela A,26.12,53.38,-52.93
Gambart M,3.92,348.28,5.37
Biela D,15.96,56.41,-55.88
Biela B,44.55,50.02,-56.72
Biela C,26.88,53.49,-54.28
Biela E,8.55,56.57,-56.60
Biela F,9.40,54.85,-56.52
Birmingham G,5.19,349.76,64.58
Birmingham H,6.54,349.35,64.46
Bonpland N,2.30,338.52,-9.40
Bessarion H,4.12,318.51,15.26
Bolyai Q,26.40,123.04,-36.29
Boss D,15.58,87.58,44.36
Bessarion A,12.31,320.17,17.07
Bessarion B,11.67,318.28,16.83
Bessarion C,8.54,317.36,16.03
Bessarion D,9.15,318.26,19.77
Bessarion E,7.59,322.64,15.37
Bessarion G,3.62,319.63,14.90
Bonpland P,1.67,338.44,-10.92
Bessarion W,2.67,323.05,16.69
Bessel D,5.20,19.85,27.33
Bessel F,0.63,13.84,21.26
Bessel H,3.72,19.99,25.69
Bettinus A,25.67,310.97,-64.87
Bettinus B,25.16,308.68,-63.54
Bettinus C,22.55,321.90,-63.33
Bettinus D,10.46,313.38,-64.99
Bettinus E,7.89,317.61,-63.21
Bettinus F,6.75,315.98,-62.96
Bettinus H,7.76,316.18,-64.62
Bianchini D,7.05,324.30,47.55
Bianchini G,3.90,327.21,46.69
Bianchini H,6.17,327.14,48.08
Dewar F,14.03,167.61,-2.73
Bianchini M,4.23,329.32,48.37
Bianchini N,4.97,328.93,48.54
Gambart N,4.21,345.05,-0.54
Billy H,3.26,310.15,-15.65
Boguslawsky C,34.48,27.69,-70.99
Boguslawsky D,22.39,47.40,-72.86
Boguslawsky E,14.60,54.32,-74.31
Boguslawsky F,31.05,52.97,-75.41
Boguslawsky G,20.46,34.34,-71.48
Boguslawsky H,21.12,29.05,-72.81
Boguslawsky J,34.72,28.40,-72.08
Boguslawsky K,46.43,50.35,-73.46
Boguslawsky L,21.93,36.46,-70.67
Bianchini W,8.34,326.19,48.54
Biela G,10.08,54.08,-56.38
Biela H,7.96,54.39,-58.01
Biela J,13.95,52.89,-57.07
Boscovich D,3.47,12.18,8.97
Billy D,10.90,311.60,-14.85
Biela T,6.50,49.91,-53.92
Biela U,16.38,49.30,-53.65
Biela V,6.39,48.45,-53.73
Biela W,18.15,49.87,-55.31
Biela Y,15.70,58.00,-54.97
Biela Z,50.63,57.00,-53.89
Billy A,7.26,313.66,-14.33
Billy B,20.76,312.32,-12.20
Billy C,5.58,310.85,-16.07
Billy E,2.56,310.18,-14.97
Hipparchus K,10.87,2.15,-6.96
Bode B,9.76,356.91,8.73
Blazhko L,43.99,212.60,29.15
Bode A,12.14,358.82,8.99
Hipparchus Q,6.88,2.86,-8.50
Blazhko R,53.97,209.99,29.82
Birt C,1.80,351.63,-23.69
Bingham H,26.64,116.22,7.46
Hipparchus T,6.01,3.53,-7.14
Biot A,14.88,48.83,-22.21
Biot B,27.48,49.57,-20.43
