name,diameter,center_lon,center_lat
Steinheim,11.27,190.64,54.57
Depressio Hellespontica,0,20,-59.70
Deucalionis Regio,0,20,-14.83
Deuteronilus,0,360,34.68
Diacria,0,180,49.66
Sinton,62.80,31.73,40.75
Jezero,47.52,77.68,18.40
Dioscuria,0,40,49.66
Miyamoto,145.20,353.05,-2.86
Liberta,25.10,304.55,35.22
Eunostos,0,240,21.76
Euphrates,0,25,19.78
Capen,68.98,14.31,6.58
Penticton,8.18,96.76,-38.37
Hyperboreus (Lacus),0,300,74.83
Coimbra,34.53,354.68,4.17
Sibut,22.17,310.64,9.67
Kalocsa,34.15,353.05,6.92
Edom,0,15,0
Mellit,22.53,358.26,7.12
Naruko,4.16,198.30,-36.23
Phedra,20.31,123.87,13.83
Eridania,0,140,-44.66
Tavua,31.55,117.61,15.62
Avire,6.85,200.24,-40.82
Naryn,3.93,123.29,14.88
Zaranj,27.40,113.05,12.09
Niquero,10.69,194.02,-38.78
Triolet,12.14,191.97,-37.08
Jamuna,0,320,9.88
Corinto,13.68,141.70,16.94
Thila,5.36,155.52,18.10
Wiltz,1.26,159.21,15.53
Heimdal,10.49,235.43,68.32
Bogia,37.67,83.26,-44.31
Okavango Valles,285.11,8.96,38.09
II Thyle I,0,180,-69.78
Yat,7.45,330.96,18.12
Yebra,4.84,105.68,20.79
Yegros,13.97,336.33,-22.30
Yorktown,8.00,311.34,22.87
Yoro,9.61,331.95,22.79
Yuty,19.05,325.90,22.15
Zutphen,38.28,174.31,-13.85
Zhigou,21.86,257.41,-29.10
Hellas,0,70,-39.66
Hellespontus,0,35,-49.66
Zilair,46.91,327.06,-31.80
Zir,6.15,323.45,18.54
Hesperia,0,120,-19.78
Hiddekel,0,15,14.83
Zongo,46.82,318.30,-33.75
Zuni,24.28,330.42,19.22
Zunil,10.25,166.18,7.70
?mura,8.47,334.78,-25.36
Iapygia (Iapigia),0,65,-19.78
?ulanka,43.12,317.83,-2.27
Icaria,0,230,-39.66
Gratteri,7.55,199.94,-17.70
Juventae Fons,0,297,-4.94
Tomini,7.76,125.87,16.26
Zumba,2.92,226.92,-28.66
Culter,4.87,306.06,-8.84
Gamboa,30.82,315.63,40.76
Ismenius Lacus,0,30,39.66
Udzha,42.86,77.34,81.92
Toconao,17.15,285.31,-20.85
Winslow,1.08,59.15,-3.73
Beloha,31.73,56.71,-39.57
Lemuria,0,160,69.78
Saheki,82.43,73.13,-21.74
Karzok,15.29,228.26,18.40
Pangboche,10.16,226.59,17.27
Laestrygon (Laestrigon),0,160,0
Boola,17.24,254.80,81.26
Jojutla,19.31,190.19,81.58
Tombaugh,59.84,161.92,3.55
Persbo,19.49,156.87,8.56
Ada,2.08,356.77,-3.06
Libya,0,90,0
Alamos,6.43,322.87,23.48
Lunae Palus,0,295,14.83
Beruri,45.11,81.23,5.26
Bopolu,18.88,353.70,-2.96
Cefalù,5.52,321.11,23.63
Chupadero,8.03,83.43,6.13
Mare Acidalium,0,330,44.66
Mare Australe,0,350,-59.70
Mare Boreum,0,180,59.70
Mare Chronium,0,150,-57.69
Mare Cimmerium,0,140,-19.78
Mare Erythraeum,0,320,-24.74
Mare Hadriacum,0,90,-39.66
Mare Serpentis,0,40,-29.70
Mare Sirenum,0,205,-29.70
Meroe,0,75,34.68
Elorza,45.16,304.79,-8.75
Mare Tyrrhenum,0,105,-19.78
Dulovo,17.38,84.55,3.62
Margaritifer Sinus,0,335,-9.88
Hashir,16.15,85.01,3.19
Grindavik,11.71,321.01,25.39
Niliacus Lacus,0,330,29.70
Nilokeras,0,305,29.70
Nilosyrtis,0,70,41.66
Hargraves,60.28,75.74,20.73
Memnonia,0,210,-19.78
Iazu,6.83,354.82,-2.70
Jörn,20.47,76.42,-27.18
Ulu,3.42,107.31,22.49
Moab,0,10,19.78
Moeris Lacus,0,90,7.90
Farim,3.91,139.28,-44.31
Arsia Sulci,500,230.18,-6.28
Ulya,8.02,111.68,-17.90
Umatac,17.16,137.25,42.51
Urk,2.89,111.42,23.10
Utan,4.73,113.80,24.23
Vaals,10.84,327.02,-3.96
Valga,15.69,323.35,-44.31
Nectar,0,288,-27.72
Valverde,34.91,304.23,20.09
Noachis,0,30,-44.66
Vaux,5.98,327.21,17.95
Nix Olympica,0,230,19.78
Verlaine,38.83,64.11,-9.22
Very,114.81,182.97,-49.16
Ogygis Regio,0,295,-44.66
Viana,29.03,104.81,19.18
Olympia,0,160,79.88
Vik,22.32,296.06,-36.08
Vils,6.68,348.31,39.03
Candor Chasma,810.60,289.22,-6.53
Vinogradov,209.65,322.25,-19.82
Hadriaca Patera,66.04,92.79,-30.20
Phaethontis,0,205,-49.66
Vinogradsky,66.26,143.84,-56.12
Ortygia,0,360,59.70
Oxia Palus,0,342,7.90
Oxus,0,348,19.78
Virrat,50.67,257.12,-30.72
Vishniac,80.46,84.12,-76.51
Panchaia,0,160,59.70
Pandorae Fretum,0,44,-24.74
Vivero,27.12,118.83,48.97
Voeykov,75.45,283.86,-32.11
Vogel,120.69,346.71,-36.77
Volgograd,1.59,135.02,48.09
Vol'sk,8.45,308.75,22.99
Phlegra,134,172.2,31.00
Phoenicis Lacus,0,250,-11.86
Von Kármán,90.29,301.29,-64.26
Phrixi Regio,0,290,-39.66
Voo,2.12,340.00,-26.94
Malea Planum,872.46,62.94,-65.82
Voza,2.71,306.47,23.34
Promethei Sinus,0,80,-64.73
Vätö,17.23,306.31,-43.60
Wabash,40.70,326.35,21.35
Propontis,0,175,44.66
Protei Regio,0,310,-22.75
Protonilus,0,45,41.66
Wahoo,63.07,326.31,23.23
Pyrrhae Regio,0,322,-14.83
Wajir,11.85,105.54,-27.02
Wallops,1.83,132.72,46.58
Wallace,170.78,110.90,-52.48
Zea Dorsa,249.01,80.53,-48.87
Wallula,12.12,305.60,-9.92
Sinus Meridiani,0,360,-4.94
Sinus Sabaeus,0,20,-7.90
Warra,10.11,322.36,20.74
Waspam,41.60,303.37,20.45
Wassamu,16.29,306.79,25.57
Wau,6.78,317.38,-44.86
Weert,9.49,308.30,19.71
Wegener,68.51,355.93,-64.29
Weinbaum,82.01,114.57,-65.53
Wer,3.20,353.81,45.67
Wells,98.27,122.40,-59.93
Wicklow,21.50,319.46,-2.01
Windfall,17.55,316.67,-2.08
Wien,115.13,139.75,-10.57
Scandia,0,212.1,60.20
Williams,123.20,195.86,-18.38
Wink,10.16,318.65,-6.51
Wirtz,120.26,334.14,-48.23
Woolgar,15.30,274.54,34.65
Wislicenus,140.15,11.38,-18.16
Syria,0,260,-19.78
Syrtis Major,0,70,9.88
Woomera,2.26,132.61,48.06
Worcester,24.04,309.62,26.61
Sinai,0,290,-19.78
Xui,3.15,112.62,15.08
Wright,113.77,208.98,-58.51
Wukari,38.21,257.20,-31.80
Sithonius Lacus,0,115,44.66
Yakima,12.52,356.84,43.03
Solis Lacus,0,270,-27.72
Yala,19.65,321.42,17.36
Yalata,4.73,106.16,21.81
Yar,6.18,320.85,22.26
Styx,0,160,29.70
Tara,32.93,307.16,-44.01
Tarakan,39.31,329.55,-41.20
Tarata,12.27,318.77,-3.78
Tanais,0,290,49.66
Tarma,8.99,109.85,16.53
Uchronia,0,100,69.78
Tarsus,18.54,319.73,23.11
Taxco,17.35,319.86,20.66
Taza,24.28,314.70,-43.57
Tempe,0,290,39.66
Tharsis,0,260,0
Thoth,0,105,29.70
Thymiamata,0,350,9.88
Tecolote,47.93,253.16,-24.54
Teisserenc de Bort,114.88,45.07,0.43
Tithonius Lacus,0,275,-4.94
Tejn,3.77,106.42,15.38
Tractus Albus,0,280,29.70
Trinacria,0,92,-24.74
Trivium Charontis,0,162,19.78
Telz,3.18,111.11,21.15
Tem',5.87,350.54,41.90
Tepko,3.97,103.51,15.20
Terby,171.49,74.14,-27.96
Thermia,2.75,109.17,19.66
Umbra,0,70,49.66
Thira,21.84,175.97,-14.47
Thom,22.06,92.34,-41.11
Utopia,0,110,49.66
Thule,13.07,334.27,-23.37
Tibrikot,59.08,305.12,12.55
Tignish,20.97,87.04,-30.73
Tikhonravov,343.70,35.92,13.27
Tikhov,110.07,105.79,-50.68
Vulcani Pelagus,0,345,-34.68
Tile,8.47,331.37,17.72
Tokko,2.69,109.51,22.54
Timaru,18.40,337.66,-25.26
Timbuktu,65.68,322.47,-5.56
Timoshenko,86.11,295.99,41.76
Tiwi,21.15,335.23,-27.56
Xanthe,0,310,9.88
Tokma,3.27,108.56,21.31
Tolon,2.63,104.97,18.22
Yaonis Regio,0,40,-39.66
Tooting,27.85,207.76,23.20
Torbay,6.33,114.08,17.87
Torsö,15.30,308.82,-44.28
Zephyria,0,165,0
Trud,2.43,328.40,17.68
Torup,42.72,97.80,-27.88
Trinidad,27.90,109.05,-23.38
Troika,13.42,105.13,16.83
Trouvelot,148.77,347.01,16.09
Troy,9.59,307.38,23.16
Promethei Mons,65.17,87.44,-70.57
Trumpler,75.35,209.28,-61.43
Aspen,18.48,336.85,-21.38
Tsau,6.61,121.05,49.49
Tsukuba,1.85,133.99,48.58
Tuapi,4.47,104.33,16.98
Tumul,8.67,104.61,14.70
Tugaske,30.89,258.88,-31.78
Aveiro,9.10,281.02,21.28
Angu,2.07,105.63,20.01
Bazas,16.42,93.38,-27.77
Albany,2.14,310.98,22.96
Tungla,16.60,89.63,-40.76
Tura,14.81,338.02,-26.63
Aban,4.28,111.10,15.90
Achar,5.36,123.16,45.43
Adams,90.21,163.1,30.91
Agassiz,108.76,271.11,-69.88
Becquerel,165.23,352.05,21.89
Ajon,8.08,103.14,16.49
Aki,7.87,299.75,-35.46
Aktaj,5.00,313.51,20.41
Albi,9.06,324.99,-41.47
Alexey Tolstoy,93.03,125.33,-47.43
Alga,18.71,333.32,-24.34
Amsterdam,1.65,312.99,23.00
Aniak,50.96,290.43,-31.83
Antoniadi,400.95,60.83,21.38
Apia,10.06,89.01,-37.28
Apt,9.57,350.53,39.88
Arago,152.35,29.92,10.22
Arandas,24.76,344.97,42.40
Argas,3.55,309.83,23.32
Arica,15.77,110.23,-23.80
Arkhangelsky,116.82,335.21,-41.08
Arrhenius,122.72,122.70,-40.04
Arta,3.96,305.71,21.38
Ayacucho,2.58,267.97,38.18
Ayr,12.74,91.58,-38.98
Azul,19.53,317.48,-42.07
Azusa,39.25,319.67,-5.48
Babakin,76.66,288.55,-36.00
Bacht,7.86,102.69,18.65
Bacolor,21.57,118.59,32.99
Bada,2.52,309.31,20.34
Bahn,11.92,316.68,-3.49
Bak,3.13,103.78,18.04
Bakhuysen,152.89,15.72,-22.97
Balboa,21.94,326.12,-3.82
Baldet,181.30,65.48,22.76
Balta,17.28,333.45,-23.81
Baltisk,50.75,305.34,-42.26
Balvicar,20.35,306.76,16.20
Bamba,22.56,318.41,-3.36
Bamberg,55.70,356.90,39.70
Banff,5.00,329.29,17.50
Banh,14.39,304.50,19.41
Bar,2.05,340.50,-25.24
Barabashov,120.66,291.24,47.32
Barnard,121.10,61.58,-61.06
Baro,16.93,110.69,-24.80
Barsukov,68.44,330.98,7.97
Basin,15.52,106.99,17.81
Batoka,14.95,323.34,-7.55
Bato?,17.32,330.50,21.50
Baykonyr,3.89,132.67,46.40
Beer,85.49,351.83,-14.47
Canaveral,3.17,135.83,46.82
Airy,43.04,0.05,-5.13
Beltra,7.17,102.40,18.01
Belz,10.21,316.77,21.57
Bend,3.70,332.26,-22.40
Bentham,11.36,319.44,-55.77
Bentong,10.32,340.95,-22.30
Bernard,128.1,205.79,-23.24
Berseba,36.83,322.39,-4.39
Bhor,5.72,134.52,41.74
Bianchini,70.71,264.71,-63.85
